Institute,CollegeState,BranchShortcut,DegreeType,Quota,SeatType,Gender,PredictedClosingRank2026,InstituteType,GlobalPrestigeIndex,GlobalBranchPopularity
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,OPEN,Gender-Neutral,60036,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,OPEN (PwD),Gender-Neutral,3353,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,SC,Gender-Neutral,11220,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,ST,Gender-Neutral,4661,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,EWS,Gender-Neutral,21190,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,OBC-NCL,Female-only (including Supernumerary),79637,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,OBC-NCL,Gender-Neutral,76669,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,OPEN,Female-only (including Supernumerary),125292,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,OPEN,Gender-Neutral,120125,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,OPEN (PwD),Gender-Neutral,3624,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,SC,Female-only (including Supernumerary),18313,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,SC,Gender-Neutral,16674,GFTI,96,112
"Assam University, Silchar",ASSAM,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,HS,ST,Gender-Neutral,6641,GFTI,96,112
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,EWS,Female-only (including Supernumerary),2130,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,EWS,Gender-Neutral,1270,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL,Female-only (including Supernumerary),6983,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,3687,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL (PwD),Gender-Neutral,282,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN,Female-only (including Supernumerary),15702,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN,Gender-Neutral,9142,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN (PwD),Female-only (including Supernumerary),622,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN (PwD),Gender-Neutral,331,IIIT,39,85
