Institute,Academic-Program-Name,Quota,Seat-Type,Gender,Round-1-Opening-Rank,Round-1-Closing-Rank,Round-2-Opening-Rank,Round-2-Closing-Rank,Round-3-Opening-Rank,Round-3-Closing-Rank,Round-4-Opening-Rank,Round-4-Closing-Rank,Round-5-Opening-Rank,Round-5-Closing-Rank,Opening-Rank,Closing-Rank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),42252.0,42252.0,45992.0,45992.0,45992.0,45992.0,45992.0,45992.0,45992.0,45992.0,42252.0,45992.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,17650.0,41353.0,36208.0,44421.0,36208.0,45982.0,36208.0,46675.0,43020.0,50836.0,17650.0,50836.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1933.0,1933.0,2996.0,2996.0,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,1933.0,3213.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8128.0,8650.0,8748.0,10062.0,8748.0,10342.0,8748.0,10342.0,8748.0,10422.0,8128.0,10422.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,948.0,3587.0,948.0,3587.0,948.0,3587.0,948.0,3587.0,948.0,3587.0,948.0,3587.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,14234.0,15781.0,15864.0,18853.0,18040.0,20014.0,18040.0,20014.0,18955.0,20222.0,14234.0,20222.0,Assam,16,181,GFTI,181MHE
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),60194.0,60194.0,60194.0,60194.0,68589.0,68589.0,68589.0,68589.0,68589.0,68589.0,60194.0,68589.0,Assam,16,181,GFTI,181FHON
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,40817.0,46784.0,40817.0,53133.0,40817.0,54011.0,40817.0,54011.0,40817.0,54011.0,40817.0,54011.0,Assam,16,181,GFTI,181MHON
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),55594.0,55594.0,55594.0,55594.0,55594.0,55594.0,55594.0,55594.0,89527.0,89527.0,55594.0,89527.0,Assam,16,181,GFTI,181FHO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,66008.0,80400.0,71669.0,95362.0,71669.0,96305.0,71669.0,96305.0,71669.0,97431.0,66008.0,97431.0,Assam,16,181,GFTI,181MHO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,Assam,16,181,GFTI,181MHOP
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,16723.0,Assam,16,181,GFTI,181FHSC
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,9784.0,13851.0,11271.0,14909.0,11271.0,16105.0,11271.0,16105.0,11271.0,16105.0,9784.0,16105.0,Assam,16,181,GFTI,181MHSC
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4280.0,4500.0,4280.0,4500.0,4280.0,4500.0,4280.0,4500.0,4280.0,4500.0,4280.0,4500.0,Assam,16,181,GFTI,181MHST
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,8610.0,8962.0,8962.0,9401.0,8962.0,9495.0,8962.0,9546.0,9699.0,9849.0,8610.0,9849.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),18603.0,18603.0,18825.0,18825.0,22243.0,22243.0,23076.0,23076.0,23076.0,23076.0,18603.0,23076.0,Assam,16,181,GFTI,181FION
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,15004.0,18070.0,16743.0,19277.0,16743.0,20489.0,16743.0,20559.0,19277.0,20863.0,15004.0,20863.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),50261.0,50261.0,53250.0,53250.0,56760.0,56760.0,56760.0,56760.0,56760.0,56760.0,50261.0,56760.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,38897.0,49856.0,45330.0,53183.0,46675.0,54266.0,49306.0,55057.0,51079.0,58657.0,38897.0,58657.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,2549.0,2549.0,,,,,,,,,2549.0,2549.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,6885.0,8934.0,10231.0,10342.0,10231.0,10900.0,10231.0,10900.0,10231.0,10900.0,6885.0,10900.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3662.0,4260.0,3662.0,4260.0,3662.0,4260.0,3662.0,4260.0,3662.0,4260.0,3662.0,4260.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,17124.0,17467.0,20014.0,20498.0,20222.0,21717.0,21973.0,24543.0,26117.0,27284.0,17124.0,27284.0,Assam,16,181,GFTI,181MHE
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),66564.0,66564.0,77471.0,77471.0,78664.0,78664.0,79757.0,79757.0,79757.0,79757.0,66564.0,79757.0,Assam,16,181,GFTI,181FHON
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,47478.0,50534.0,52078.0,58528.0,55437.0,63815.0,55437.0,68473.0,55437.0,72701.0,47478.0,72701.0,Assam,16,181,GFTI,181MHON
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),89527.0,89527.0,99757.0,99757.0,99757.0,99757.0,114979.0,114979.0,114979.0,114979.0,89527.0,114979.0,Assam,16,181,GFTI,181FHO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,81577.0,95469.0,95469.0,114381.0,95469.0,117145.0,95469.0,123822.0,95469.0,134701.0,81577.0,134701.0,Assam,16,181,GFTI,181MHO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),13976.0,13976.0,17430.0,17430.0,17430.0,17430.0,17430.0,17430.0,17430.0,17430.0,13976.0,17430.0,Assam,16,181,GFTI,181FHSC
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,14218.0,14909.0,14218.0,16927.0,16616.0,17453.0,16927.0,19772.0,16927.0,19772.0,14218.0,19772.0,Assam,16,181,GFTI,181MHSC
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4688.0,5484.0,5944.0,6458.0,5944.0,6659.0,5944.0,6665.0,5944.0,6665.0,4688.0,6665.0,Assam,16,181,GFTI,181MHST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,Madhya Pradesh,5,155,IIIT,155FIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,993.0,1056.0,1047.0,1216.0,1047.0,1216.0,1047.0,1216.0,1127.0,1365.0,993.0,1365.0,Madhya Pradesh,5,155,IIIT,155MIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5362.0,5669.0,5669.0,6214.0,5669.0,6214.0,5669.0,6214.0,5669.0,6214.0,5362.0,6214.0,Madhya Pradesh,5,155,IIIT,155FION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2521.0,3168.0,2521.0,3314.0,2521.0,3314.0,2521.0,3314.0,2658.0,3625.0,2521.0,3625.0,Madhya Pradesh,5,155,IIIT,155MION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,Madhya Pradesh,5,155,IIIT,155MIONP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9754.0,11529.0,9754.0,11529.0,9754.0,11529.0,9754.0,11529.0,10050.0,11529.0,9754.0,11529.0,Madhya Pradesh,5,155,IIIT,155FIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2303.0,7166.0,3710.0,7511.0,3710.0,7511.0,3710.0,7511.0,3710.0,8044.0,2303.0,8044.0,Madhya Pradesh,5,155,IIIT,155MIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,Madhya Pradesh,5,155,IIIT,155MIOP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3246.0,3313.0,3246.0,3313.0,3246.0,3313.0,3246.0,3313.0,3246.0,3313.0,3246.0,3313.0,Madhya Pradesh,5,155,IIIT,155FISC
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1737.0,1996.0,1737.0,2195.0,1737.0,2195.0,1737.0,2195.0,1737.0,2195.0,1737.0,2195.0,Madhya Pradesh,5,155,IIIT,155MISC
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,Madhya Pradesh,5,155,IIIT,155MISCP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,Madhya Pradesh,5,155,IIIT,155FIST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,746.0,1008.0,746.0,1216.0,746.0,1216.0,746.0,1216.0,746.0,1343.0,746.0,1343.0,Madhya Pradesh,5,155,IIIT,155MIST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,Madhya Pradesh,5,155,IIIT,155MISTP
