Institute,AcademicProgramName,Quota,SeatType,Gender,OpeningRank,ClosingRank,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,43335,54135,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P26
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),128240,109932,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P27
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,80319,90790,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P28
"Assam University, Silchar",COMPUTER SCIENCE AND ENGINEERING (BTech),HS,OPEN (PwD),Gender-Neutral,3344,3344,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P29
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),12197,14891,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P30
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,13347,14699,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P31
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4594,5995,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P32
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,8834,8968,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P33
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),22835,24150,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P34
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,18789,21810,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P35
