Institute,AcademicProgramName,Quota,SeatType,Gender,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,Round6OpeningRank,Round6ClosingRank,OpeningRank,ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,14713.0,17023.0,16005.0,18377.0,16005.0,18377.0,17023.0,18389.0,17023.0,19410.0,17023.0,19410.0,14713.0,19410.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),44196.0,44196.0,49476.0,49476.0,49476.0,49476.0,49476.0,49476.0,49476.0,49476.0,49476.0,49476.0,44196.0,49476.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,32251.0,45009.0,32937.0,48985.0,32937.0,48985.0,32937.0,52326.0,32937.0,53277.0,32937.0,54614.0,32251.0,54614.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1027.0,1027.0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0,1027.0,1618.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7276.0,8992.0,8992.0,9658.0,8992.0,9658.0,8992.0,10055.0,8992.0,10082.0,8992.0,10303.0,7276.0,10303.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3846.0,3944.0,3846.0,3962.0,3846.0,3962.0,3846.0,3962.0,3846.0,3962.0,3846.0,3962.0,3846.0,3962.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,12264.0,14070.0,14070.0,15801.0,14070.0,15801.0,14070.0,16299.0,14070.0,16299.0,14070.0,16299.0,12264.0,16299.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),65659.0,65659.0,69071.0,69071.0,69071.0,69071.0,70503.0,70503.0,70503.0,70503.0,70503.0,70503.0,65659.0,70503.0,Assam,16,181,GFTI,181FION
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,38787.0,46885.0,43335.0,56970.0,43335.0,56970.0,43335.0,58429.0,43335.0,58429.0,43335.0,58429.0,38787.0,58429.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),58413.0,58413.0,115147.0,115147.0,115147.0,115147.0,120410.0,120410.0,124854.0,124854.0,128240.0,128240.0,58413.0,128240.0,Assam,16,181,GFTI,181FIO
